中文名,adcode,citycode
林西县,150424,476.0
克什克腾旗,150425,476.0
翁牛特旗,150426,476.0
喀喇沁旗,150428,476.0
宁城县,150429,476.0
敖汉旗,150430,476.0
通辽市,150500,475.0
通辽市市辖区,150501,475.0
科尔沁区,150502,475.0
科尔沁左翼中旗,150521,475.0
科尔沁左翼后旗,150522,475.0
开鲁县,150523,475.0
库伦旗,150524,475.0
奈曼旗,150525,475.0
扎鲁特旗,150526,475.0
霍林郭勒市,150581,475.0
鄂尔多斯市,150600,477.0
鄂尔多斯市市辖区,150601,477.0
东胜区,150602,477.0
康巴什区,150603,477.0
达拉特旗,150621,477.0
准格尔旗,150622,477.0
鄂托克前旗,150623,477.0
鄂托克旗,150624,477.0
杭锦旗,150625,477.0
乌审旗,150626,477.0
伊金霍洛旗,150627,477.0
呼伦贝尔市,150700,470.0
呼伦贝尔市市辖区,150701,470.0
海拉尔区,150702,470.0
扎赉诺尔区,150703,470.0
阿荣旗,150721,470.0
莫力达瓦达斡尔族自治旗,150722,470.0
鄂伦春自治旗,150723,470.0
鄂温克族自治旗,150724,470.0
陈巴尔虎旗,150725,470.0
新巴尔虎左旗,150726,470.0
新巴尔虎右旗,150727,470.0
满洲里市,150781,470.0
牙克石市,150782,470.0
扎兰屯市,150783,470.0
额尔古纳市,150784,470.0
根河市,150785,470.0
巴彦淖尔市,150800,478.0
巴彦淖尔市市辖区,150801,478.0
临河区,150802,478.0
五原县,150821,478.0
磴口县,150822,478.0
乌拉特前旗,150823,478.0
乌拉特中旗,150824,478.0
乌拉特后旗,150825,478.0
杭锦后旗,150826,478.0
乌兰察布市,150900,474.0
乌兰察布市市辖区,150901,474.0
集宁区,150902,474.0
卓资县,150921,474.0
化德县,150922,474.0
商都县,150923,474.0
兴和县,150924,474.0
凉城县,150925,474.0
察哈尔右翼前旗,150926,474.0
察哈尔右翼中旗,150927,474.0
察哈尔右翼后旗,150928,474.0
四子王旗,150929,474.0
丰镇市,150981,474.0
兴安盟,152200,482.0
乌兰浩特市,152201,482.0
阿尔山市,152202,482.0
科尔沁右翼前旗,152221,482.0
科尔沁右翼中旗,152222,482.0
扎赉特旗,152223,482.0
突泉县,152224,482.0
锡林郭勒盟,152500,479.0
二连浩特市,152501,479.0
锡林浩特市,152502,479.0
阿巴嘎旗,152522,479.0
苏尼特左旗,152523,479.0
苏尼特右旗,152524,479.0
东乌珠穆沁旗,152525,479.0
西乌珠穆沁旗,152526,479.0
太仆寺旗,152527,479.0
镶黄旗,152528,479.0
正镶白旗,152529,479.0
正蓝旗,152530,479.0
多伦县,152531,479.0
阿拉善盟,152900,483.0
阿拉善左旗,152921,483.0
阿拉善右旗,152922,483.0
额济纳旗,152923,483.0
辽宁省,210000,
沈阳市,210100,24.0
沈阳市市辖区,210101,24.0
和平区,210102,24.0
沈河区,210103,24.0
大东区,210104,24.0
皇姑区,210105,24.0
铁西区,210106,24.0
苏家屯区,210111,24.0
浑南区,210112,24.0
沈北新区,210113,24.0
于洪区,210114,24.0
辽中区,210115,24.0
康平县,210123,24.0
法库县,210124,24.0
新民市,210181,24.0
大连市,210200,411.0
大连市市辖区,210201,411.0
中山区,210202,411.0
西岗区,210203,411.0
沙河口区,210204,411.0
甘井子区,210211,411.0
旅顺口区,210212,411.0
金州区,210213,411.0
普兰店区,210214,411.0
长海县,210224,411.0
瓦房店市,210281,411.0
庄河市,210283,411.0
鞍山市,210300,412.0
鞍山市市辖区,210301,412.0
铁东区,210302,412.0
铁西区,210303,412.0
立山区,210304,412.0
千山区,210311,412.0
台安县,210321,412.0
岫岩满族自治县,210323,412.0
海城市,210381,412.0
抚顺市,210400,413.0
抚顺市市辖区,210401,413.0
新抚区,210402,413.0
东洲区,210403,413.0
望花区,210404,413.0
顺城区,210411,413.0
抚顺县,210421,413.0
新宾满族自治县,210422,413.0
清原满族自治县,210423,413.0
本溪市,210500,414.0
本溪市市辖区,210501,414.0
平山区,210502,414.0
溪湖区,210503,414.0
明山区,210504,414.0
南芬区,210505,414.0
本溪满族自治县,210521,414.0
桓仁满族自治县,210522,414.0
丹东市,210600,415.0
丹东市市辖区,210601,415.0
元宝区,210602,415.0
振兴区,210603,415.0
振安区,210604,415.0
宽甸满族自治县,210624,415.0
东港市,210681,415.0
凤城市,210682,415.0
锦州市,210700,416.0
锦州市市辖区,210701,416.0
古塔区,210702,416.0
凌河区,210703,416.0
太和区,210711,416.0
黑山县,210726,416.0
义县,210727,416.0
凌海市,210781,416.0
北镇市,210782,416.0
营口市,210800,417.0
营口市市辖区,210801,417.0
站前区,210802,417.0
西市区,210803,417.0
鲅鱼圈区,210804,417.0
老边区,210811,417.0
盖州市,210881,417.0
大石桥市,210882,417.0
阜新市,210900,418.0
阜新市市辖区,210901,418.0
海州区,210902,418.0
新邱区,210903,418.0
太平区,210904,418.0
清河门区,210905,418.0
细河区,210911,418.0
阜新蒙古族自治县,210921,418.0
彰武县,210922,418.0
辽阳市,211000,419.0
辽阳市市辖区,211001,419.0
白塔区,211002,419.0
文圣区,211003,419.0
宏伟区,211004,419.0
弓长岭区,211005,419.0
太子河区,211011,419.0
辽阳县,211021,419.0
灯塔市,211081,419.0
盘锦市,211100,427.0
盘锦市市辖区,211101,427.0
双台子区,211102,427.0
兴隆台区,211103,427.0
大洼区,211104,427.0
盘山县,211122,427.0
铁岭市,211200,410.0
铁岭市市辖区,211201,410.0
银州区,211202,410.0
清河区,211204,410.0
铁岭县,211221,410.0
西丰县,211223,410.0
昌图县,211224,410.0
调兵山市,211281,410.0
开原市,211282,410.0
朝阳市,211300,421.0
朝阳市市辖区,211301,421.0
双塔区,211302,421.0
龙城区,211303,421.0
朝阳县,211321,421.0
建平县,211322,421.0
喀喇沁左翼蒙古族自治县,211324,421.0
北票市,211381,421.0
凌源市,211382,421.0
葫芦岛市,211400,429.0
葫芦岛市市辖区,211401,429.0
连山区,211402,429.0
龙港区,211403,429.0
南票区,211404,429.0
绥中县,211421,429.0
建昌县,211422,429.0
兴城市,211481,429.0
吉林省,220000,
长春市,220100,431.0
长春市市辖区,220101,431.0
南关区,220102,431.0
宽城区,220103,431.0
朝阳区,220104,431.0
二道区,220105,431.0
绿园区,220106,431.0
双阳区,220112,431.0
九台区,220113,431.0
农安县,220122,431.0
榆树市,220182,431.0
德惠市,220183,431.0
吉林市,220200,432.0
吉林市市辖区,220201,432.0
昌邑区,220202,432.0
龙潭区,220203,432.0
船营区,220204,432.0
丰满区,220211,432.0
永吉县,220221,432.0
蛟河市,220281,432.0
桦甸市,220282,432.0
舒兰市,220283,432.0
磐石市,220284,432.0
四平市,220300,434.0
四平市市辖区,220301,434.0
铁西区,220302,434.0
铁东区,220303,434.0
梨树县,220322,434.0
伊通满族自治县,220323,434.0
公主岭市,220184,434.0
双辽市,220382,434.0
辽源市,220400,437.0
辽源市市辖区,220401,437.0
龙山区,220402,437.0
西安区,220403,437.0
东丰县,220421,437.0
东辽县,220422,437.0
通化市,220500,435.0
通化市市辖区,220501,435.0
东昌区,220502,435.0
二道江区,220503,435.0
通化县,220521,435.0
辉南县,220523,435.0
柳河县,220524,435.0
梅河口市,220581,435.0
集安市,220582,435.0
白山市,220600,439.0
白山市市辖区,220601,439.0
浑江区,220602,439.0
江源区,220605,439.0
抚松县,220621,439.0
靖宇县,220622,439.0
长白朝鲜族自治县,220623,439.0
临江市,220681,439.0
松原市,220700,438.0
松原市市辖区,220701,438.0
宁江区,220702,438.0
前郭尔罗斯蒙古族自治县,220721,438.0
长岭县,220722,438.0
乾安县,220723,438.0
扶余市,220781,438.0
白城市,220800,436.0
白城市市辖区,220801,436.0
洮北区,220802,436.0
镇赉县,220821,436.0
通榆县,220822,436.0
洮南市,220881,436.0
大安市,220882,436.0
延边朝鲜族自治州,222400,1433.0
延吉市,222401,1433.0
图们市,222402,1433.0
敦化市,222403,1433.0
珲春市,222404,1433.0
龙井市,222405,1433.0
和龙市,222406,1433.0
汪清县,222424,1433.0
安图县,222426,1433.0
黑龙江省,230000,
哈尔滨市,230100,451.0
哈尔滨市市辖区,230101,451.0
道里区,230102,451.0
南岗区,230103,451.0
道外区,230104,451.0
平房区,230108,451.0
松北区,230109,451.0
香坊区,230110,451.0
呼兰区,230111,451.0
阿城区,230112,451.0
双城区,230113,451.0
依兰县,230123,451.0
方正县,230124,451.0
宾县,230125,451.0
巴彦县,230126,451.0
木兰县,230127,451.0
通河县,230128,451.0
延寿县,230129,451.0
尚志市,230183,451.0
五常市,230184,451.0
齐齐哈尔市,230200,452.0
齐齐哈尔市市辖区,230201,452.0
龙沙区,230202,452.0
建华区,230203,452.0
铁锋区,230204,452.0
昂昂溪区,230205,452.0
富拉尔基区,230206,452.0
碾子山区,230207,452.0
梅里斯达斡尔族区,230208,452.0
龙江县,230221,452.0
依安县,230223,452.0
泰来县,230224,452.0
甘南县,230225,452.0
富裕县,230227,452.0
克山县,230229,452.0
克东县,230230,452.0
拜泉县,230231,452.0
讷河市,230281,452.0
鸡西市,230300,467.0
鸡西市市辖区,230301,467.0
鸡冠区,230302,467.0
恒山区,230303,467.0
滴道区,230304,467.0
梨树区,230305,467.0
城子河区,230306,467.0
麻山区,230307,467.0
鸡东县,230321,467.0
虎林市,230381,467.0
密山市,230382,467.0
鹤岗市,230400,468.0
鹤岗市市辖区,230401,468.0
向阳区,230402,468.0
工农区,230403,468.0
南山区,230404,468.0
兴安区,230405,468.0
东山区,230406,468.0
兴山区,230407,468.0
萝北县,230421,468.0
绥滨县,230422,468.0
双鸭山市,230500,469.0
双鸭山市市辖区,230501,469.0
尖山区,230502,469.0
岭东区,230503,469.0
四方台区,230505,469.0
宝山区,230506,469.0
集贤县,230521,469.0
友谊县,230522,469.0
宝清县,230523,469.0
饶河县,230524,469.0
大庆市,230600,459.0
大庆市市辖区,230601,459.0
萨尔图区,230602,459.0
龙凤区,230603,459.0
让胡路区,230604,459.0
红岗区,230605,459.0
大同区,230606,459.0
肇州县,230621,459.0
肇源县,230622,459.0
林甸县,230623,459.0
杜尔伯特蒙古族自治县,230624,459.0
伊春市,230700,458.0
伊春市市辖区,230701,458.0
汤旺河区,230712,458.0
伊美区,230717,458.0
乌翠区,230718,458.0
友好区,230719,458.0
嘉荫县,230722,458.0
汤旺县,230723,458.0
丰林县,230724,458.0
大箐山县,230725,458.0
南岔县,230726,458.0
金林区,230751,458.0
铁力市,230781,458.0
佳木斯市,230800,454.0
佳木斯市市辖区,230801,454.0
向阳区,230803,454.0
前进区,230804,454.0
东风区,230805,454.0
郊区,230811,454.0
桦南县,230822,454.0
桦川县,230826,454.0
汤原县,230828,454.0
同江市,230881,454.0
富锦市,230882,454.0
抚远市,230883,454.0
七台河市,230900,464.0
七台河市市辖区,230901,464.0
新兴区,230902,464.0
桃山区,230903,464.0
茄子河区,230904,464.0
勃利县,230921,464.0
牡丹江市,231000,453.0
牡丹江市市辖区,231001,453.0
东安区,231002,453.0
阳明区,231003,453.0
爱民区,231004,453.0
西安区,231005,453.0
林口县,231025,453.0
绥芬河市,231081,453.0
海林市,231083,453.0
宁安市,231084,453.0
穆棱市,231085,453.0
东宁市,231086,453.0
黑河市,231100,456.0
黑河市市辖区,231101,456.0
爱辉区,231102,456.0
嫩江市,231183,456.0
逊克县,231123,456.0
孙吴县,231124,456.0
北安市,231181,456.0
五大连池市,231182,456.0
绥化市,231200,455.0
绥化市市辖区,231201,455.0
北林区,231202,455.0
望奎县,231221,455.0
兰西县,231222,455.0
青冈县,231223,455.0
庆安县,231224,455.0
明水县,231225,455.0
绥棱县,231226,455.0
安达市,231281,455.0
肇东市,231282,455.0
海伦市,231283,455.0
大兴安岭地区,232700,457.0
加格达奇区,232718,457.0
呼玛县,232721,457.0
塔河县,232722,457.0
漠河市,232701,457.0
上海市,310000,21.0
上海市市辖区,310100,21.0
黄浦区,310101,21.0
徐汇区,310104,21.0
长宁区,310105,21.0
静安区,310106,21.0
普陀区,310107,21.0
虹口区,310109,21.0
杨浦区,310110,21.0
闵行区,310112,21.0
宝山区,310113,21.0
嘉定区,310114,21.0
浦东新区,310115,21.0
金山区,310116,21.0
松江区,310117,21.0
青浦区,310118,21.0
奉贤区,310120,21.0
崇明区,310151,21.0
江苏省,320000,
南京市,320100,25.0
南京市市辖区,320101,25.0
玄武区,320102,25.0
秦淮区,320104,25.0
建邺区,320105,25.0
鼓楼区,320106,25.0
浦口区,320111,25.0
栖霞区,320113,25.0
雨花台区,320114,25.0
江宁区,320115,25.0
六合区,320116,25.0
溧水区,320117,25.0
高淳区,320118,25.0
无锡市,320200,510.0
无锡市市辖区,320201,510.0
锡山区,320205,510.0
惠山区,320206,510.0
滨湖区,320211,510.0
梁溪区,320213,510.0
新吴区,320214,510.0
江阴市,320281,510.0
宜兴市,320282,510.0
徐州市,320300,516.0
徐州市市辖区,320301,516.0
鼓楼区,320302,516.0
云龙区,320303,516.0
贾汪区,320305,516.0
泉山区,320311,516.0
铜山区,320312,516.0
丰县,320321,516.0
沛县,320322,516.0
睢宁县,320324,516.0
新沂市,320381,516.0
邳州市,320382,516.0
常州市,320400,519.0
常州市市辖区,320401,519.0
天宁区,320402,519.0
钟楼区,320404,519.0
新北区,320411,519.0
武进区,320412,519.0
金坛区,320413,519.0
溧阳市,320481,519.0
苏州市,320500,512.0
苏州市市辖区,320501,512.0
虎丘区,320505,512.0
吴中区,320506,512.0
相城区,320507,512.0
姑苏区,320508,512.0
吴江区,320509,512.0
常熟市,320581,512.0
张家港市,320582,512.0
昆山市,320583,512.0
太仓市,320585,512.0
南通市,320600,513.0
南通市市辖区,320601,513.0
崇川区,320602,513.0
通州区,320612,513.0
海安市,320685,513.0
如东县,320623,513.0
启东市,320681,513.0
如皋市,320682,513.0
海门区,320684,513.0
连云港市,320700,518.0
连云港市市辖区,320701,518.0
连云区,320703,518.0
海州区,320706,518.0
赣榆区,320707,518.0
东海县,320722,518.0
灌云县,320723,518.0
灌南县,320724,518.0
淮安市,320800,517.0
淮安市市辖区,320801,517.0
淮安区,320803,517.0
淮阴区,320804,517.0
清江浦区,320812,517.0
洪泽区,320813,517.0
涟水县,320826,517.0
盱眙县,320830,517.0
金湖县,320831,517.0
盐城市,320900,515.0
盐城市市辖区,320901,515.0
亭湖区,320902,515.0
盐都区,320903,515.0
大丰区,320904,515.0
响水县,320921,515.0
滨海县,320922,515.0
阜宁县,320923,515.0
射阳县,320924,515.0
建湖县,320925,515.0
东台市,320981,515.0
扬州市,321000,514.0
扬州市市辖区,321001,514.0
广陵区,321002,514.0
邗江区,321003,514.0
江都区,321012,514.0
宝应县,321023,514.0
仪征市,321081,514.0
高邮市,321084,514.0
镇江市,321100,511.0
镇江市市辖区,321101,511.0
京口区,321102,511.0
润州区,321111,511.0
丹徒区,321112,511.0
丹阳市,321181,511.0
扬中市,321182,511.0
句容市,321183,511.0
泰州市,321200,523.0
泰州市市辖区,321201,523.0
海陵区,321202,523.0
高港区,321203,523.0
姜堰区,321204,523.0
兴化市,321281,523.0
靖江市,321282,523.0
泰兴市,321283,523.0
宿迁市,321300,527.0
宿迁市市辖区,321301,527.0
宿城区,321302,527.0
宿豫区,321311,527.0
沭阳县,321322,527.0
泗阳县,321323,527.0
泗洪县,321324,527.0
浙江省,330000,
杭州市,330100,571.0
杭州市市辖区,330101,571.0
上城区,330102,571.0
下城区,330103,571.0
江干区,330104,571.0
拱墅区,330105,571.0
西湖区,330106,571.0
滨江区,330108,571.0
萧山区,330109,571.0
余杭区,330110,571.0
富阳区,330111,571.0
临安区,330112,571.0
桐庐县,330122,571.0
淳安县,330127,571.0
建德市,330182,571.0
宁波市,330200,574.0
宁波市市辖区,330201,574.0
海曙区,330203,574.0
江北区,330205,574.0
北仑区,330206,574.0
镇海区,330211,574.0
鄞州区,330212,574.0
奉化区,330213,574.0
象山县,330225,574.0
宁海县,330226,574.0
余姚市,330281,574.0
慈溪市,330282,574.0
温州市,330300,577.0
温州市市辖区,330301,577.0
鹿城区,330302,577.0
龙湾区,330303,577.0
瓯海区,330304,577.0
洞头区,330305,577.0
永嘉县,330324,577.0
平阳县,330326,577.0
苍南县,330327,577.0
文成县,330328,577.0
泰顺县,330329,577.0
瑞安市,330381,577.0
乐清市,330382,577.0
龙港市,330383,577.0
嘉兴市,330400,573.0
嘉兴市市辖区,330401,573.0
南湖区,330402,573.0
秀洲区,330411,573.0
嘉善县,330421,573.0
海盐县,330424,573.0
海宁市,330481,573.0
平湖市,330482,573.0
桐乡市,330483,573.0
湖州市,330500,572.0
湖州市市辖区,330501,572.0
吴兴区,330502,572.0
南浔区,330503,572.0
德清县,330521,572.0
长兴县,330522,572.0
安吉县,330523,572.0
绍兴市,330600,575.0
绍兴市市辖区,330601,575.0
越城区,330602,575.0
柯桥区,330603,575.0
上虞区,330604,575.0
新昌县,330624,575.0
诸暨市,330681,575.0
嵊州市,330683,575.0
金华市,330700,579.0
金华市市辖区,330701,579.0
婺城区,330702,579.0
金东区,330703,579.0
武义县,330723,579.0
浦江县,330726,579.0
磐安县,330727,579.0
兰溪市,330781,579.0
义乌市,330782,579.0
东阳市,330783,579.0
永康市,330784,579.0
衢州市,330800,570.0
衢州市市辖区,330801,570.0
柯城区,330802,570.0
衢江区,330803,570.0
常山县,330822,570.0
开化县,330824,570.0
龙游县,330825,570.0
江山市,330881,570.0
舟山市,330900,580.0
舟山市市辖区,330901,580.0
定海区,330902,580.0
普陀区,330903,580.0
岱山县,330921,580.0
嵊泗县,330922,580.0
台州市,331000,576.0
台州市市辖区,331001,576.0
椒江区,331002,576.0
黄岩区,331003,576.0
路桥区,331004,576.0
三门县,331022,576.0
天台县,331023,576.0
仙居县,331024,576.0
温岭市,331081,576.0
临海市,331082,576.0
玉环市,331083,576.0
丽水市,331100,578.0
丽水市市辖区,331101,578.0
莲都区,331102,578.0
青田县,331121,578.0
缙云县,331122,578.0
遂昌县,331123,578.0
松阳县,331124,578.0
云和县,331125,578.0
庆元县,331126,578.0
